predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
iv_100,48,1m,expanding,expanding,-6.52,-1.0985310561090362,0.8640136678606227,-0.031734,0.9992938016691973,0.9955887395331636
iv_100,48,3m,expanding,expanding,-18.122,-1.3501540166687966,0.9115167077004658,-0.042578,0.9826253444871588,0.9955887395331636
iv_100,48,6m,expanding,expanding,-9.577,-0.8093569890098201,0.7908450826531181,0.107881,0.8965071430543204,0.9955887395331636
iv_100,48,12m,expanding,expanding,-2.568,-0.2548369719859206,0.6005754908757232,0.205646,0.7630701064910158,0.9955887395331636
iv_100,60,1m,expanding,expanding,-2.051,-1.2526133124963312,0.8948267661616377,-0.02643,0.9992938016691973,0.9955887395331636
iv_100,60,3m,expanding,expanding,-2.044,-1.3943453814053788,0.9183933334880537,-0.029535,0.9826253444871588,0.9955887395331636
iv_100,60,6m,expanding,expanding,1.826,0.839460066660532,0.20060559455405927,0.121904,0.6958960563627625,0.9955887395331636
iv_100,60,12m,expanding,expanding,1.199,0.5557589092141852,0.28918783963269756,0.212648,0.6538043588823211,0.9955887395331636
iv_100,72,1m,expanding,expanding,-1.9,-1.04589461913117,0.8521951555193557,-0.023627,0.9992938016691973,0.9955887395331636
iv_100,72,3m,expanding,expanding,-1.365,-0.8264598343353224,0.795728353204365,-0.023055,0.9826253444871588,0.9955887395331636
iv_100,72,6m,expanding,expanding,1.719,0.728389496198613,0.23318759564714758,0.125484,0.6958960563627625,0.9955887395331636
iv_100,72,12m,expanding,expanding,0.564,0.38164022232897904,0.351364122648823,0.207425,0.6538043588823211,0.9955887395331636
iv_100,120,1m,expanding,expanding,-1.758,-1.0084937243150602,0.843391250510027,-0.015402,0.9992938016691973,0.9955887395331636
iv_100,120,3m,expanding,expanding,-1.111,-0.6902703594923738,0.7549879079791424,-0.008115,0.9826253444871588,0.9955887395331636
iv_100,120,6m,expanding,expanding,2.854,0.9316544169619058,0.17575757539393458,0.121185,0.6958960563627625,0.9955887395331636
iv_100,120,12m,expanding,expanding,3.456,0.8857546072622391,0.18787488762486432,0.190088,0.6538043588823211,0.9955887395331636
iv_110,48,1m,expanding,expanding,-6.437,-0.9914403245097849,0.8392646909360515,-0.039197,0.9992938016691973,0.9955887395331636
iv_110,48,3m,expanding,expanding,-18.162,-1.287838947779333,0.90109898430274,-0.049642,0.9826253444871588,0.9955887395331636
iv_110,48,6m,expanding,expanding,-4.837,-0.42239757917750176,0.6636325777086587,0.251192,0.8449110364940271,0.9955887395331636
iv_110,48,12m,expanding,expanding,6.311,1.3092598417243384,0.09522317387348125,0.610155,0.5376726841878028,0.9955887395331636
iv_110,60,1m,expanding,expanding,-1.348,-1.2803384432228668,0.8997869335262955,-0.033663,0.9992938016691973,0.9955887395331636
